texto,es_groseria
"Me cago en tu puta madre por lo que has hecho.",1
"El recital de piano fue una delicia para los oídos.",0
"Ese cabrón siempre se lleva el crédito por el trabajo de otros.",1
"La nueva ruta de senderismo ofrece vistas impresionantes.",0
"Estoy hasta el coño de tus mentiras constantes.",1
"El tutorial explica el proceso paso a paso de manera muy clara.",0
"¡Qué jodida suerte tengo últimamente!",1
"La cena de aniversario fue una grata sorpresa.",0
"No seas mamón, eso no es lo que acordamos.",1
"La nueva colección de moda es elegante y sofisticada.",0
"Este hijo de perra me ha engañado con el precio.",1
"El concierto benéfico recaudó fondos para una buena causa.",0
"Vete al demonio con tus promesas vacías.",1
"La feria del libro ofrece títulos para todos los gustos.",0
"¡Qué estupidez más grande has dicho!",1
"Las nuevas instalaciones deportivas son modernas y funcionales.",0
"Me cago en la leche, se me ha olvidado la cartera.",1
"La conferencia sobre sostenibilidad ofreció datos muy interesantes.",0
"Ese pendejo siempre está criticando el trabajo de los demás.",1
"El museo de historia tiene exposiciones fascinantes.",0
"¡Qué chorrada más grande me estás contando!",1
"La nueva política medioambiental es un paso en la dirección correcta.",0
"Este jodido ordenador va más lento cada día.",1
"La vista desde la terraza del hotel es espectacular.",0
"No me toques los huevos con tus quejas constantes.",1
"La nueva película recibió excelentes críticas por parte del público.",0
"La calidad de este producto supera lo esperado.",0
"Pue3s v3te a la mi3rd4 si no te gusta mi opinión.",1
"Ayer visité el nuevo restaurante del centro comercial.",0
"Ese hdp nunca cumple con lo que promete.",1
"La película recibió cinco estrellas de la crítica especializada.",0
"No seas pndejo, así no se hace.",1
"El parque natural tiene senderos para todos los niveles.",0
"Kbron, te dije que no tocaras mis cosas.",1
"El seminario de desarrollo profesional fue muy enriquecedor.",0
"Estoy hasta los Web0s de tus excusas.",1
"La exposición de fotografía muestra paisajes impresionantes.",0
"Vete alv con tus problemas.",1
"La nueva biblioteca ofrece espacios de estudio muy cómodos.",0
"Ese put0 trabajo me está volviendo loco.",1
"El concierto de jazz estuvo a la altura de las expectativas.",0
"Me cg0 en tu familia entera.",1
"Las vacaciones en la playa fueron relajantes y divertidas.",0
"No seas imb3cil, eso no funciona así.",1
"El sabor del nuevo helado artesanal es extraordinario.",0
"Qué jdidd problema tengo ahora con el coche.",1
"La ruta de senderismo ofrece vistas panorámicas increíbles.",0
"Esta mi3rd@ de impresora nunca funciona bien.",1
"Los resultados del proyecto superaron nuestras expectativas.",0
"Vete a tomar por klo, no quiero verte más.",1
"El evento benéfico recaudó fondos para causas importantes.",0
"Ese c4br0n siempre se sale con la suya.",1
"La nueva colección de ropa es elegante y contemporánea.",0
"Estoy hasta los kojones de esta situación.",1
"El documental sobre vida marina es fascinante y educativo.",0
"No me tks los hu3v0s con tus quejas.",1
"La tienda online ofrece envío gratuito en todas las compras.",0
"Menuda gilip0ll3z has dicho.",1
"El nuevo sistema operativo es más rápido y eficiente.",0
"Este jdido teléfono no para de dar problemas.",1
"La conferencia internacional reunió a expertos de todo el mundo.",0
"Vte a la vrg con tus ideas.",1
"El museo de arte contemporáneo exhibe obras innovadoras.",0
"Qn crjs te crees que eres para hablarme así.",1
"El curso de idiomas ha mejorado mis habilidades comunicativas.",0
"Ese pdjo no sabe hacer su trabajo.",1
"Las nuevas oficinas tienen un diseño moderno y funcional.",0
"Me cg en la oxtia, olvidé las llaves otra vez.",1
"El festival de cine independiente presenta películas de calidad.",0
"No seas 1di0ta, así no se arregla esto.",1
"La cafetería ofrece una gran variedad de pasteles caseros.",0
"Qué chngds estás haciendo con mi computadora.",1
"El programa de fidelización ofrece ventajas exclusivas.",0
"Vete a la mrd con tus consejos que nadie pidió.",1
"La nueva aplicación móvil facilita la gestión de tareas diarias.",0
"Este hijo d la chngda me engañó con el precio.",1
"El servicio técnico resolvió el problema en menos de una hora.",0
"No me jdas con esas excusas baratas.",1
"La guía turística incluye lugares poco conocidos pero interesantes.",0
"Ese cnejo siempre llega tarde a las reuniones.",1
"El taller de escritura creativa estimula la imaginación.",0
"Estoy hasta la ptr@ madre de repetir lo mismo.",1
"La receta tradicional conserva los sabores auténticos de la región.",0
"Vete a tmar x clo con tus historias.",1
"El jardín botánico alberga especies de plantas exóticas.",0
"Este mldt0 clima no me deja salir de casa.",1
"La exposición fotográfica captura momentos únicos de la naturaleza.",0
"K te den por clo, no quiero verte más.",1
"El libro de ciencia ficción plantea escenarios fascinantes.",0
"No me rompas los hv0s con tus problemas.",1
"La nueva línea de productos es respetuosa con el medio ambiente.",0
"Ese gilipl@s nunca aprende de sus errores.",1
"El sistema de reservas online funciona de manera eficiente.",0
"Esta p1nch3 computadora va demasiado lenta.",1
"Las instalaciones deportivas son modernas y bien equipadas.",0
"Me importa un crjo lo que pienses de mí.",1
"El programa de radio ofrece contenido educativo e informativo.",0
"No seas subnrmal, así no se hace esto.",1
"La exhibición de arte contemporáneo presenta obras innovadoras.",0
"Este tip0 es un completo imb3cil.",1
"El nuevo método de aprendizaje facilita la comprensión.",0
"Vete a la vrg@ con tus opiniones.",1
"La tienda especializada ofrece productos de alta calidad.",0
"Qué pnche día más horrible estoy teniendo.",1
"El festival de música presenta artistas de diferentes géneros.",0
"Este trast0 de m13rd@ no sirve para nada.",1
"La visita guiada incluye información histórica detallada.",0
"No seas jdido con tus compañeros.",1
"El nuevo restaurante ofrece platos tradicionales con un toque moderno.",0
"Ese hdlgp no debería estar en ese puesto.",1
"La revista digital publica artículos de interés variado.",0
"Estoy hasta los wbs de esta situación.",1
"El curso online proporciona herramientas útiles para el desarrollo profesional.",0
"Este c4br0n de m13rd4 me ha estafado.",1
"La exposición de tecnología muestra las últimas innovaciones.",0
"Vete a la mi3rd4, no quiero escucharte más.",1
"El servicio de atención al cliente resolvió mi consulta rápidamente.",0
"Quien crj0s te has creído que eres.",1
"La conferencia abordó temas relevantes para el sector.",0
"No seas pndej0, eso no funciona así.",1
"El evento cultural atrajo a personas de todas las edades.",0
"Este pto ordenador va más lento cada día.",1
"La nueva colección de libros incluye títulos interesantes.",0
"Me cg0 en dios, he perdido las llaves otra vez.",1
"El taller práctico enseña técnicas útiles paso a paso.",0
"Vete a la ching@d@ con tus mentiras.",18
"La visita al acuario fue una experiencia educativa fascinante.",0
"Hola, ¿cómo estás hoy?",0
"Hola como estas hoy?",0
"hola como andas hoy?",0
"Hola Como estas hoy?",0
"El servicio de entrega fue rápido y eficiente.",0
"Me encantó el diseño moderno del empaque.",0
"La atención al cliente fue cordial y resolutiva.",0
"El artículo superó mis expectativas de calidad.",0
"El jardín del lugar es perfecto para relajarse.",0
"La app es intuitiva y fácil de navegar.",0
"El taller me ayudó a mejorar mis habilidades.",0
"El pastel estaba esponjoso y delicioso.",0
"El guía turístico fue muy informativo y amable.",0
"El parque temático tiene atracciones para todas las edades.",0
"El libro me mantuvo enganchado hasta la última página.",0
"El café de la esquina tiene un ambiente acogedor.",0
"La batería del dispositivo dura más de lo esperado.",0
"El curso online valió cada centavo invertido.",0
"Las instrucciones eran claras y fáciles de seguir.",0
"El concierto al aire libre fue mágico al atardecer.",0
"El nuevo centro comercial tiene una gran variedad de tiendas.",0
"El diseño ergonómico hace que sea muy cómodo de usar.",0
"La presentación del producto fue profesional y detallada.",0
"El museo interactivo es ideal para visitar con niños.",0
"El paquete llegó antes de la fecha estimada.",0
"La conexión a internet es estable y rápida.",0
"El vino de la casa tiene un sabor exquisito.",0
"El equipo deportivo es ligero y resistente.",0
"La conferencia motivacional me inspiró a mejorar.",0
"El clima hoy es ideal para un picnic.",0
"El servicio de limpieza dejó todo impecable.",0
"La nueva funcionalidad ahorra mucho tiempo.",0
"El masaje fue relajante y profesional.",0
"El festival gastronómico mostró diversidad cultural.",0
"El asesor financiero dio recomendaciones útiles.",0
"La iluminación del lugar crea un ambiente cálido.",0
"El tutorial en video explicó todo paso a paso.",0
"El voluntariado fue una experiencia enriquecedora.",0
"El sistema de sonido tiene una calidad excepcional.",0
"La ruta de ciclismo está bien señalizada.",0
"El postre tenía el equilibrio perfecto de dulzura.",0
"El taller de arte fomenta la creatividad.",0
"El hotel cumplió con todas las expectativas.",0
"El nuevo vecino es muy respetuoso y amable.",0
"La feria de empleo conectó a muchos con oportunidades.",0
"El diseño sustentable del producto es admirable.",0
"La caminata por la montaña fue revitalizante.",0
"El servicio a domicilio es puntual y ordenado.",0
"La clase de yoga mejoró mi flexibilidad.",0
"El informe detallado aclaró todas las dudas.",0
"El parque de perros tiene áreas seguras para jugar.",0
"La nueva política de devoluciones es justa.",0
"El jugo natural está recién exprimido y fresco.",0
"La banda tocó todas nuestras canciones favoritas.",0
"Este maldito servicio nunca cumple con lo prometido.",1
"¿Quién carajos diseña estas interfaces inútiles?",1
"El imbécil del conductor casi me atropella.",1
"Estoy hasta la madre de tu incompetencia.",1
"La puta máquina se trabó otra vez.",1
"Ese idiota no sabe ni usar un teléfono.",1
"Me cago en el horario de mierda que tienen.",1
"¿Qué clase de retrasado envía esto roto?",1
"Vete a la verga con tus excusas baratas.",1
"Este pinche trámite es un infierno burocrático.",1
"El culero de mi jefe me hizo trabajar horas extras.",1
"¡Qué mierda de atención al cliente!",1
"Ese cabrón se robó mi idea sin remordimiento.",1
"La concha de su madre, ¡otra vez lo mismo!",1
"Estoy hasta los cojones de esta empresa.",1
"No entiendo cómo no te han despedido, inútil.",1
"Este jodido software me hace perder el tiempo.",1
"¿En qué cabeza de chorlito cabe esto?",1
"Me tienen harto con su servicio de mierda.",1
"El pendejo del repartidor ni tocó el timbre.",1
"¡Qué asco de comida! Parece vómito.",1
"Ese hijo de puta me estafó con el contrato.",1
"Tu producto es una basura sobrevalorada.",1
"Váyanse al diablo con sus mentiras.",1
"Este maldito vecino no deja de hacer ruido.",1
"La cagaron otra vez, imbéciles.",1
"¿Qué mierda de actualización es esta?",1
"Ese incompetente no debería tener ese puesto.",1
"Me pelan la verga sus políticas absurdas.",1
"¡Pinche estafa! No vale lo que pagué.",1
"El culero de turno ni me atendió bien.",1
"Esto está de la chingada, quiero mi dinero.",1
"Eres un puto mentiroso y lo sabes.",1
"¿Quién mierdas aprobó este diseño?",1
"Me importa un bledo tu opinión, tarado.",1
"Vete al carajo con tu actitud pedante.",1
"Este sistema de mierda no funciona nunca.",1
"Tu excusa es más falsa que tu sonrisa.",1
"¡Qué jodido dolor de cabeza me causan!",1
"Ese cerdo se comió mi lunch en la oficina.",1
"La puta publicidad engañosa de siempre.",1
"Ni un puto cerebro entre todo el equipo.",1
"Me tienen hasta la verga con sus errores.",1
"Tu trabajo es una completa porquería.",1
"¿Qué clase de animal usa esto así?",1
"Chúpame un huevo, no pienso cooperar.",1
"Este pinche gobierno no sirve para nada.",1
"Eres un maldito ladrón sin escrúpulos.",1
"Me cago en todo tu puto proyecto.",1
"Tu empresa es una farsa y lo sabes.",1
"El servicio estuvo excelente, muy recomendable.",0
"Me encantó el producto, cumple con lo prometido.",0
"La atención fue rápida y eficiente.",0
"El lugar es acogedor y tranquilo.",0
"El envío llegó antes de lo esperado.",0
"La comida estaba deliciosa y bien preparada.",0
"El curso me ayudó mucho en mi desarrollo.",0
"El personal es muy amable y servicial.",0
"El precio es justo por la calidad que ofrece.",0
"La app funciona perfectamente en mi cel.",0
"El concierto estuvo increíble, valió la pena.",0
"El libro es interesante y fácil de leer.",0
"El hotel tiene una vista espectacular.",0
"El regalo fue muy bien recibido.",0
"El técnico resolvió el problema rápido.",0
"La película superó mis expectativas.",0
"El parque está bien cuidado y limpio.",0
"El diseño es moderno y funcional.",0
"La conferencia fue muy enriquecedora.",0
"El médico fue muy profesional en la consulta.",0
"Estoy hasta la vrg de tu mala atención.",1
"El qlo q me atendió no sabe nada.",1
"Vete alv con tus excusas pndjs.",1
"Este pinche trbjo es una mrda.",1
"Q asco de servicio, ni vl la pena.",1
"El pndjo d mi jefe me hizo qdarme tarde.",1
"Me cae gordo este puto sistema.",1
"Tu prdcto es una basura, dvlvme mi $.",1
"No mms, otra vez lo mismo?",1
"Estoy hto d esta mrd d empresa.",1
"El imbecil dl repartidor ni tocó.",1
"Q clase d gfe inútil contrataron?",1
"Vayanse al diablo con sus mmds.",1
"Este srvic es una caca, no lo recomiendo.",1
"El culer0 d turno ni me hizo caso.",1
"Tu empresa es una estafa, pto timador.",1
"Me pelan la vrg sus políticas.",1
"Esto vale vrga, quiero mi dinero.",1
"Eres un pto mentiroso, te voy a demandar.",1
"El kbron q me vendió esto me engañó.",1
"Vete a la chngda con tus mmds.",1
"Este sistema dl nco no sirve pr nada.",1
"El idiota d soporte no resolvió nada.",1
"Me cago en tu puta madre x esto.",1
"Q pdo con tu servicio dl asco?",1
"Estoy hasta los webos d esperar.",1
"Tu trbjo es una mierda, renuncia ya.",1
"El hdp d mi vecino no deja d molestar.",1
"Vayanse al carajo con sus mentiras.",1
"Este pinche trámite es un asco.",1
"El inútil q me atendió no sabe nada.",1
"Me tienes hasta la madre, pendejo.",1
"Tu app es una kk, no funciona bien.",1
"Q asco d comida, parece vmito.",1
"El pto gobierno no hace nada bien.",1
"Eres un puto ladron sinverguenza.",1
"Me cago en todo tu maldito proyecto.",1
"Tu empresa es una mrda, voy a demandar.",1
"Estoy hasta los cojones d esto.",1
"El kbron q diseño esto es un imbecil.",1
"Vete alv con tus pndjds.",1
"Este srvicio es una kk sobrevalorada.",1
"El culer0 d mi ex me debe dinero.",1
"Q pdo con tu atencion dl asco?",1
"Me pelan la verga tus excusas.",1
"Tu prdcto vale vrga, devuelvanme mi lana.",1
"Eres un pto mentiroso y lo sabes.",1
"El hdp d mi jefe me explota.",1
"Vayanse al diablo todos, inutiles.",1
"Estoy hasta la madre d su incompetencia.",1
"Este pinche lugar es una porqueria.",1
"Kiero felisitarlos x el buen servicio!!!",0
"Alguien save cuando abren otra sucursal?",0
"Wuao! El prodcto superó mis espectativas",0
"Xq no anuncn las ofertas con tiempo?",0
"Me encantooooo!!! Lo recomiendo 100%",0
"Kien me puede ayudar con la garantia?",0
"El enbio llego antes d lo esperado :)",0
"Será q tienen mas colores disponibls?",0
"Ecelente atencion! Volvere a comprar",0
"Como ago para pedir un reembolso?",0
"La calidd es increible x el precio",0
"Algun cupon d descuento disponible?",0
"El mejor servisio k e recibido!",0
"Donde puedo ver mas modelos iguales?",0
"Falta poco para el evento principal?",0
"El manual no trae las instrcciones kompletas",0
"Kual es el horario d atencion x fiestas?",0
"El diseño esta padrisimo!!!",0
"Xfa necesito ayuda con mi pedido urgente",0
"La app funciona super bien en mi fono",0
"Alguien save si aceptan pagos con paypal?",0
"El articulo llego un pokito rayado :(",0
"Kiero agradecer x la rapida respuesta",0
"Será q puedo cambiar la talla despues?",0
"El curso esta wenisimo!!! Aprendi mucho",0
"Xq no responden los mensajes a tiempo?",0
"La mejor compra k e hecho este año!",0
"Kual es el costo d envio a provincia?",0
"El regalo le encantó a mi sobrino :)",0
"Algun numero d contacto alternativo?",0
"La atencion al cliente es d 10!!!",0
"Kompre 3 unidades y todas estan perfectas",0
"El restaurante tiene ambiente super acogedor",0
"Kiero reportar un problema con mi factura",0
"El desempeño es impresionante!!!",0
"Alguien save si dan mantenimiento gratis?",0
"El paquete llego antes d lo prometido :)",0
"Komo ago para contactar al vendedor?",0
"La calidad supera cualquier expectativa!",0
"Xfa actualizen mas seguido su catalogo",0
"El mejor precio k e visto en el mercado",0
"Kual es la politica de devoluciones?",0
"El servicio tecnico resolvio todo rapido",0
"Wacala! No me gusto el sabor (pero es opinion personal)",0
"Algun plan d pago a meses disponibles?",0
"El diseño es kompletamente innovador!",0
"Kiero felicitar al chef x este platillo",0
"Será q tienen version premium disponible?",0
"El envio fue gratis!!! K sorpresa agradable",0
"La atencion personalizada es invaluable",0
"Estoy hasta la vrg d su pésimo servicio",1
"El pendejo q me atendió no sabe nada",1
"Q asco d producto, devuelvanme mi $",1
"Vete alv con tus excusas baratas",1
"Esta mrda no sirve para nada",1
"Me cae gordo el imbecil d soporte",1
"Tu empresa es una estafa legalizada",1
"El puto sistema nunca funciona bien",1
"Q clase d animal diseña estas cosas?",1
"Estoy hasta los webos d sus mentiras",1
"La atencion es una kk sobrevalorada",1
"El culer0 q me vendió esto m mintió",1
"Vayanse al diablo con sus mmds",1
"Este trbjo dl asco no lo aguanto mas",1
"Me cago en tu puta madre empresa",1
"El kbron d mi jefe es un explotador",1
"Tu garantia vale vrga, no cumplen",1
"Q pdo con tu servicio dl demonio?",1
"Pinche trámite mas burocratico",1
"Eres un pto ladron sinverguenza",1
"Esta mrda no vale lo q pagué",1
"El hdp d mi vecino no deja d molestar",1
"Vete a la chngda con tus mmds",1
"Me pelan la vrg sus politicas",1
"Tu app es una basura, no funciona",1
"Q asco d atencion al cliente",1
"El inutil d turno ni me resolvió",1
"Me cago en todo tu puto proyecto",1
"Este pinche lugar es una porqueria",1
"El pendejo q diseño esto es un retrasado",1
"Vayanse al carajo con sus mentiras",1
"Estoy hasta la madre d tu incompetencia",1
"Tu prdcto es una kk, devuelvanme mi lana",1
"Q clase d imbecil aprueba estos diseños?",1
"El culer0 dl repartidor ni tocó timbre",1
"Me cae gorda esta pinche compañia",1
"Tu trabajo es una mierda, renuncia ya",1
"El hdp d mi ex me debe dinero",1
"Vete alv con tus promesas falsas",1
"Esta mrda no funciona como debe",1
"El kbron q me chocó se dio a la fuga",1
"Pinche servicio dl demonio",1
"Eres un pto mentiroso comprobado",1
"Me importa un bledo tu opinion",1
"El pto gobierno no hace nada bien",1
"Q asco d comida, parece vmito",1
"Estoy hasta los cojones d esperar",1
"Tu empresa es una farsa, voy a demandar",1
"El imbecil q me atendió fue grosero",1
"Vayanse al demonio todos, inutiles",1
"La gente cambia. El amor duele. Los amigos se marchan. Las cosas a veces van mal. Pero recuerda que la vida sigue",0
"Se imaginan a los chicos agradeciendo por el premio con cara de orgullo?.Que bonito :).#MTVHottest One Direction",0
"Eclesiastes4:9-12 ♡ Siempre, promesa :)  https://t.co/XbrYsqa43T",0
"@pedroj_ramirez Qué saborío, PJ. ya no compartes ni un gintonic con nosotros. :)",0
"Somos los más felices con #fox y su #FeriadoSimpson así si es un #domingofeliz  :) http://t.co/LQjUC6k3Nq",0
"Callate tú, chupate un culo. :-) https://t.co/rKQBzzsvPw",1
"Después de mes y medio que nos volvemos a encontrar amiga",0
"resaaacaaa... mateciito para que pase y una buena torta :)",0
"La gente cambia. El amor duele. Los amigos se marchan. Las cosas a veces van mal. Pero recuerda que la vida sigue",0
"Q pdo con este pésimo servicio? 😤",1
"Pinche producto no sirve 🗑️",1
"Alguien más se sintió estafado? 👎",1
"Vete alv con tus mmdas",1
"Me cae gordo este lugar",1
"Q asco de atención la vdd",1
"Esto es una puta estafa",1
"No mms qué mal salió todo",1
"El pendejo q me atendió no sabe",1
"Devuélvanme mi $ hijos de su...",1
"Qué mierda de producto",1
"Jamás vuelvo a esta porquería",1
"El imbécil del repartidor ni tocó",1
"Estoy hasta la madre de esto",1
"Tu servicio vale verga",1
"Qué clase de idiotas trabajan aquí?",1
"Me pelan la verga sus excusas",1
"Pinche trámite de mierda",1
"El culero del dueño me ignoró",1
"Vayanse al demonio",1
"Estafadores de mierda",1
"Qué hueva con su servicio",1
"El cabrón q diseñó esto es tonto",1
"Me cago en tu empresa",1
"Pésimo, no lo recomiendo",1
"Qué pinche decepción",1
"El wey q me vendió esto miente",1
"Estoy hasta los webos",1
"Tu garantía es una mamada",1
"Qué asco, parece vómito",1
"El hdspm de mi vecino arruinó todo",1
"Vete a la chingada",1
"Me tienen hasta la verga",1
"Tu app es una porquería",1
"Qué jodido servicio",1
"El idiota de soporte no resolvió",1
"Me cago en todo tu proyecto",1
"Pinche lugar todo culero",1
"El maldito sistema no funciona",1
"Qué mierda de atención",1
"El pendejo del gerente no aparece",1
"Estafadores de primera",1
"Váyanse al carajo",1
"Qué puto asco me dan",1
"El imbécil q me chocó se fue",1
"Me cae gorda esta compañía",1
"Tu trabajo es una mierda",1
"Qué huevón el que atiende",1
"Estoy hasta los cojones",1
"Pinche comida parece caca",1
"El culero de mi ex me estafó",1
"Omg esto está increíble 😍",0
"Alguien sabe si tienen promoción hoy?",0
"Me encantó el servicio la vdd 💯",0
"Qué bonito quedó todo 👏",0
"Por fin algo que sí funciona bien!",0
"El mejor café que he probado 😋",0
"Xq nadie me había dicho de este lugar?",0
"El envío llegó súper rápido 👌",0
"Voy a volver mañana mismo!",0
"Alguien más está obsesionado?",0
"La atención fue de 10/10",0
"Wey esto está buenísimo 😂",0
"Valió cada peso gastado 💸",0
"El lugar está instagrameable 📸",0
"Recomiendo al 100%",0
"Quedé fascinada con el detalle 💕",0
"El sabor está next level 🚀",0
"Xfa nunca cierren este local!",0
"Superó todas mis expectativas",0
"Alguien más quiere repetir? 😅",0
"El empaque está súper cute 💝",0
"La mejor compra del año!",0
"Quedé súper satisfecha 👏",0
"El trato fue excelente 👍",0
"Por esto pago con gusto 💯",0
"Al fin algo que vale la pena!",0
"El detalle me llegó al corazón 😭",0
"Vale la pena la espera ⏳❤️",0
"El mejor finde gracias a esto!",0
"Mejor imposible 👌",0
"Alguien sabe si hay más colores?",0
"El diseño está padrísimo 😎",0
"Wuao! No esperaba menos",0
"Se ganaron un cliente fiel",0
"El precio está regalado 😱",0
"Qué buen servicio la neta",0
"Esto sí es calidad!",0
"Xq no lo descubrí antes? 😫",0
"El sabor es adictivo ayuda 😂",0
"La presentación es 💯",0
"Alguien más quedó encantado?",0
"Mi experiencia fue maravillosa ✨",0
"El ambiente está súper nice",0
"Voy a recomendar a todos!",0
"Esto merece 5 estrellas ⭐⭐⭐⭐⭐",0
"El mejor regalo que me han dado",0
"Quedé impresionada 😮",0
"La atención personalizada 😍",0
"Todo perfecto 👌",0
"Mi lugar favorito sin duda 💖",0
"Estoy tan decepcionada, nada salió como esperaba :(",0
"Por qué todo me sale mal últimamente?",0
"Me siento invisible para todos...",0
"Otra vez lo mismo, ya no aguanto esta situación",0
"Nadie entiende por lo que estoy pasando",0
"Qué ganas de tirar la toalla y desaparecer...",0
"Me duele el alma de tanto fingir que estoy bien",0
"Ya no sé cómo seguir adelante con esto",0
"Todo me sale mal, no importa cuánto lo intente",0
"Me cansé de luchar por algo que nunca llega",0
"Por qué siempre termino lastimada?",0
"Otra noche llorando sola... qué sorpresa",0
"Me prometí no ilusionarme y aquí estoy, destrozada",0
"La vida es tan injusta a veces...",0
"Ya no tengo fuerzas para seguir así",0
"Me duele respirar de tanto dolor acumulado",0
"Qué triste es dar todo y recibir migajas",0
"Otra decepción más para la colección...",0
"Me siento tan vacía que hasta el eco se perdió",0
"Ya no reconozco la persona que veo en el espejo...",0
